2024-04-23 22:04:51 - INFO - [0.00secondes]-This is an informational message.
2024-04-23 22:04:51 - DEBUG - [0.00secondes]-This is a debug message.
2024-04-23 22:04:51 - CRITICAL - [0.00secondes]-This is a critical message.
2024-04-23 22:04:52 - INFO - [1.93secondes]-La partie est commencé.
2024-04-23 22:04:52 - DEBUG - [1.93secondes]-Grille générée
2024-04-23 22:04:53 - DEBUG - [1.98secondes]-Lancement du jeu réussi
2024-04-23 22:04:53 - DEBUG - [1.98secondes]-La difficulté est Facile
2024-04-23 22:04:53 - DEBUG - [2.69secondes]-Clic de la souris détecté
2024-04-23 22:04:53 - INFO - [2.69secondes]-L'utilisateur a selectionné (8, 8)
2024-04-23 22:04:56 - DEBUG - [5.26secondes]-Clic de la souris détecté
2024-04-23 22:04:56 - INFO - [5.26secondes]-L'utilisateur a démarré une nouvelle partie.
2024-04-23 22:04:56 - DEBUG - [5.26secondes]-Clic du bouton refresh détecté
2024-04-23 22:04:56 - DEBUG - [5.27secondes]-Les chances ont été réinitialisées à 3
2024-04-23 22:04:57 - DEBUG - [6.06secondes]-Clic de la souris détecté
2024-04-23 22:04:57 - INFO - [6.06secondes]-L'utilisateur a selectionné (9, 8)
2024-04-23 22:09:18 - DEBUG - [267.47secondes]-Clic de la souris détecté
2024-04-23 22:09:18 - INFO - [267.47secondes]-L'utilisateur a selectionné (1, 1)
2024-04-23 22:09:19 - INFO - [268.91secondes]-L'utilisateur a cliqué sur 3
2024-04-23 22:09:19 - INFO - [268.91secondes]-Placement du chiffre 3 réussi.
2024-04-23 22:09:20 - DEBUG - [269.46secondes]-Clic de la souris détecté
2024-04-23 22:09:20 - INFO - [269.46secondes]-L'utilisateur a selectionné (2, 3)
2024-04-23 22:09:21 - INFO - [270.14secondes]-L'utilisateur a cliqué sur 6
2024-04-23 22:09:21 - INFO - [270.14secondes]-Placement du chiffre 6 réussi.
2024-04-23 22:09:21 - DEBUG - [270.80secondes]-Clic de la souris détecté
2024-04-23 22:09:21 - INFO - [270.80secondes]-L'utilisateur a selectionné (3, 1)
2024-04-23 22:09:22 - INFO - [271.93secondes]-L'utilisateur a cliqué sur 7
2024-04-23 22:09:22 - INFO - [271.93secondes]-Placement du chiffre 7 réussi.
2024-04-23 22:09:23 - DEBUG - [272.81secondes]-Clic de la souris détecté
2024-04-23 22:09:23 - INFO - [272.81secondes]-L'utilisateur a selectionné (3, 2)
2024-04-23 22:09:24 - INFO - [272.99secondes]-L'utilisateur a cliqué sur 1
2024-04-23 22:09:24 - INFO - [272.99secondes]-Placement du chiffre 1 réussi.
2024-04-23 22:09:25 - DEBUG - [274.08secondes]-Clic de la souris détecté
2024-04-23 22:09:25 - INFO - [274.08secondes]-L'utilisateur a selectionné (2, 6)
2024-04-23 22:09:25 - INFO - [274.81secondes]-L'utilisateur a cliqué sur 9
2024-04-23 22:09:25 - INFO - [274.81secondes]-Placement du chiffre 9 réussi.
2024-04-23 22:09:26 - DEBUG - [275.78secondes]-Clic de la souris détecté
2024-04-23 22:09:26 - INFO - [275.78secondes]-L'utilisateur a selectionné (1, 7)
2024-04-23 22:09:27 - INFO - [276.65secondes]-L'utilisateur a cliqué sur 1
2024-04-23 22:09:27 - INFO - [276.66secondes]-Placement du chiffre 1 réussi.
2024-04-23 22:09:28 - DEBUG - [277.25secondes]-Clic de la souris détecté
